State,STATE AVERAGE MONTHLY PREMIUMS 2016,STATE AVERAGE PLAN LIABILITY RISK SCORE 2016,STATE AVERAGE ALLOWABLE RATING FACTOR 2016,STATE AVERAGE ACTUARIAL VALUE 2016,STATE INDUCED DEMAND FACTOR 2016,STATE BILLABLE MEMBER MONTHS 2016,STATE AVERAGE MONTHLY PREMIUMS 2015,STATE AVERAGE PLAN LIABILITY RISK SCORE 2015,STATE AVERAGE ALLOWABLE RATING FACTOR 2015,STATE AVERAGE ACTUARIAL VALUE 2015,STATE INDUCED DEMAND FACTOR 2015,STATE BILLABLE MEMBER MONTHS 2015,STATE AVERAGE MONTHLY PREMIUMS DIFFERENCE,STATE AVERAGE PLAN LIABILITY RISK SCORE DIFFERENCE,STATE AVERAGE ALLOWABLE RATING FACTOR DIFFERENCE,STATE AVERAGE ACTUARIAL VALUE DIFFERENCE,STATE INDUCED DEMAND FACTOR DIFFERENCE,STATE BILLABLE MEMBER MONTHS DIFFERENCE
AK,871.2176834,1.470561942,1.618581998,0.654832322,1.017288639,208994.0667,626.6700303,1.575311319,1.601928963,0.665172131,1.020881132,252070.0667,244.5476531,-0.104749377,0.016653034,-0.010339809,-0.003592493,-43076
AL,408.0316274,2.009259161,1.594928909,0.699299663,1.03155039,2498322.167,344.4947886,1.909180782,1.570781878,0.709665554,1.037659785,2471189.533,63.53683881,0.100078379,0.024147031,-0.010365891,-0.006109396,27132.63333
AR,369.2488373,2.051507958,1.483455281,0.699490942,1.030603336,3996773.667,358.2295951,2.075040806,1.486412338,0.700076257,1.030931478,3264611.533,11.01924227,-0.023532848,-0.002957057,-0.000585315,-0.000328142,732162.1333
AZ,321.3899943,1.518572158,1.539869402,0.679960425,1.026783316,2724664.8,295.2766706,1.58389833,1.514094568,0.708990558,1.040686948,2640412.033,26.11332379,-0.065326172,0.025774834,-0.029030132,-0.013903632,84252.76667
CA,393.2508967,1.354744514,1.570077168,0.69938758,1.037345113,25466502.6,380.0201408,1.34369176,1.554203697,0.700476863,1.038422099,24317669.9,13.23075588,0.011052754,0.015873471,-0.001089284,-0.001076986,1148832.7
CO,374.2753196,1.262386044,1.559014283,0.659205863,1.019912141,3167919.367,336.1837274,1.369006861,1.556461891,0.673246494,1.025411444,2466925.267,38.09159214,-0.106620817,0.002552392,-0.014040631,-0.005499303,700994.1
CT,438.5696068,1.543918785,1.665975477,0.696303118,1.032968595,2048979.767,431.0480539,1.515847409,1.651046073,0.699608269,1.034409352,1950317.067,7.521552895,0.028071376,0.014929404,-0.003305151,-0.001440757,98662.7
DC,326.4977816,1.547271286,1.091934362,0.726706406,1.052334146,195167.0333,325.7893939,1.359450141,1.083892841,0.737366919,1.058496921,166221.2667,0.708387673,0.187821145,0.008041521,-0.010660514,-0.006162775,28945.76667
DE,473.3762167,1.751087117,1.61721396,0.706646817,1.038644347,411094.0333,401.9187301,1.785321113,1.598107914,0.720927219,1.045173071,390595.9333,71.45748669,-0.034233996,0.019106045,-0.014280402,-0.006528725,20498.1
FL,402.3734184,1.738146307,1.636224137,0.696658703,1.032325705,19057655.67,392.0164113,1.698755175,1.632963307,0.704755583,1.037519954,16884417.17,10.35700713,0.039391132,0.00326083,-0.00809688,-0.005194249,2173238.5
GA,381.5307281,1.594635976,1.541533425,0.686506305,1.02752647,6779549.5,344.0807428,1.613213821,1.540211489,0.701590568,1.035779988,6184546.1,37.44998532,-0.018577845,0.001321936,-0.015084263,-0.008253518,595003.4
HI,372.1350807,1.907874541,1.629725993,0.736396211,1.056371834,404351.0667,279.7727761,1.756269809,1.580715515,0.74184742,1.059660902,418464.2667,92.36230466,0.151604732,0.049010478,-0.005451209,-0.003289068,-14113.2
IA,408.1596477,1.710576399,1.644654466,0.680698849,1.026830505,981423.1667,348.6338299,1.587335395,1.585835094,0.687654472,1.029817684,984895.9,59.52581777,0.123241004,0.058819372,-0.006955623,-0.002987178,-3472.733333
ID,354.1200125,1.500791127,1.55073561,0.684184613,1.027766941,1390759.1,300.8166302,1.538849906,1.537931441,0.695071047,1.033256143,1311030.9,53.30338237,-0.038058779,0.01280417,-0.010886434,-0.005489201,79728.2
IL,368.374169,1.553071795,1.597432698,0.68638344,1.03000405,5963869.033,329.7920231,1.603369086,1.585907942,0.696367191,1.034620812,5764784.933,38.58214587,-0.050297292,0.011524756,-0.009983751,-0.004616762,199084.1
IN,407.3585285,1.666687718,1.670121885,0.668044833,1.021615708,2410576.967,435.4973472,1.728384693,1.669093149,0.66883584,1.022149488,2408899,-28.13881865,-0.061696975,0.001028736,-0.000791007,-0.000533779,1677.966667
KS,341.4533761,1.653150943,1.539704582,0.69021287,1.031078141,1551412.633,289.7702567,1.680885569,1.53439439,0.693234488,1.032912001,1442690.967,51.6831194,-0.027734626,0.005310192,-0.003021618,-0.001833859,108721.6667
KY,365.4676938,1.7294429,1.658960917,0.686789586,1.029171441,1247124.433,341.1071324,1.79846324,1.663603366,0.715553018,1.04418689,1235018.6,24.36056144,-0.069020341,-0.004642449,-0.028763432,-0.015015449,12105.83333
LA,442.475419,1.803326485,1.575193666,0.686888273,1.028850125,2484477.867,409.5799556,1.815883287,1.555031166,0.698851943,1.036473576,2099225.233,32.89546336,-0.012556802,0.0201625,-0.011963671,-0.007623451,385252.6333
MD,340.7312667,1.567821448,1.563413397,0.687682063,1.030687853,2974395.033,301.2887085,1.547025088,1.545388809,0.708783054,1.042598346,2821902.7,39.44255812,0.02079636,0.018024588,-0.021100991,-0.011910493,152492.3333
ME,420.5777424,1.504806836,1.712054924,0.681009218,1.025552645,973342.9333,420.5759751,1.536783606,1.721388878,0.683942852,1.026664785,861989.7333,0.001767228,-0.03197677,-0.009333954,-0.002933634,-0.00111214,111353.2
MI,381.8877547,1.648382934,1.646181343,0.683021612,1.027768183,4798952.133,365.7176362,1.674187692,1.642010756,0.688932507,1.030456472,4617561.733,16.17011848,-0.025804758,0.004170588,-0.005910896,-0.002688288,181390.4
MN,386.6772795,1.381849638,1.707144209,0.675110118,1.028392998,2754383.433,300.1307827,1.412514392,1.645171725,0.710843435,1.044003035,3235126.367,86.54649677,-0.030664755,0.061972483,-0.035733318,-0.015610036,-480742.9333
MO,395.7805383,1.730647055,1.584039339,0.678542735,1.025439904,3407787,353.2924893,1.734168665,1.56480307,0.683552459,1.028093116,3012820.833,42.48804897,-0.003521611,0.019236269,-0.005009725,-0.002653212,394966.1667
MS,396.1817695,1.918944085,1.606092637,0.706785402,1.035585433,1083148.733,398.3086952,1.78630081,1.596999432,0.711140286,1.03821795,1067543.5,-2.126925664,0.132643276,0.009093205,-0.004354884,-0.002632517,15605.23333
MT,395.9650107,1.355355561,1.659649847,0.656343968,1.018429598,890180.8333,326.6507305,1.416488574,1.627161071,0.671873261,1.025538218,948356.5333,69.31428017,-0.061133012,0.032488775,-0.015529293,-0.00710862,-58175.7
NC,495.5055085,1.724208723,1.588086844,0.688251842,1.028124852,6353391.667,408.4654693,1.724583272,1.575062039,0.69255976,1.03113186,5987032.767,87.04003921,-0.000374549,0.013024805,-0.004307917,-0.003007008,366358.9
ND,426.9873983,1.428640107,1.513784898,0.715773683,1.043032023,472035.6,385.6556595,1.394773581,1.458509238,0.727239113,1.0496491,447449.4667,41.3317388,0.033866526,0.05527566,-0.01146543,-0.006617077,24586.13333
NE,400.0735581,1.55191948,1.531905521,0.664018109,1.020560138,1249457.2,353.6566586,1.463438074,1.525335424,0.668823073,1.023353684,1117092.567,46.41689944,0.088481406,0.006570097,-0.004804965,-0.002793547,132364.6333
NH,390.01,1.618487946,1.588711354,0.687365678,1.027983812,1139768.033,379.1143677,1.417988385,1.713599056,0.676013491,1.025526613,595032.1333,10.89563233,0.200499561,-0.124887702,0.011352186,0.002457199,544735.9
NJ,482.9500306,1.679712853,1.618557707,0.702339848,1.035008362,3964231.867,470.5868294,1.625919981,1.606666785,0.706750873,1.037753458,3545090.733,12.36320119,0.053792872,0.011890922,-0.004411025,-0.002745097,419141.1333
NM,317.3626779,1.547525908,1.718093129,0.704315006,1.036512447,854826.2,314.069027,1.558972107,1.689248328,0.702187558,1.035973515,912306.5,3.293650851,-0.011446198,0.028844801,0.002127448,0.000538932,-57480.3
NV,356.6253274,1.542141173,1.550864584,0.690620678,1.031690348,1535616.4,339.6306646,1.559421744,1.539202291,0.695202008,1.035448382,1366892.633,16.99466279,-0.017280571,0.011662293,-0.004581329,-0.003758034,168723.7667
NY,474.85,1.816,0.98774788,0.743126137,1.060966906,3907208.467,446.2868102,1.730549046,0.99026017,0.734683913,1.054522879,5328270.967,28.56318975,0.085450954,-0.00251229,0.008442224,0.006444027,-1421062.5
OH,399.0236234,1.742430136,1.689222655,0.672713665,1.023655854,3254860.633,380.9651147,1.756038119,1.684320508,0.680019141,1.027117653,2930602.633,18.05850862,-0.013607983,0.004902147,-0.007305476,-0.003461799,324258
OK,358.0398744,1.834812913,1.556244395,0.671594542,1.022789163,2006846.267,285.4629202,1.716492403,1.526313485,0.682440411,1.027637533,1880217.1,72.57695417,0.11832051,0.02993091,-0.010845868,-0.00484837,126629.1667
OR,356.0171698,1.382757739,1.622405201,0.690200663,1.030532948,2666275.533,304.4655932,1.445386453,1.607968874,0.695383572,1.033076374,2413682.867,51.55157659,-0.062628714,0.014436327,-0.005182909,-0.002543426,252592.6667
PA,379.9116335,1.750240644,1.684745433,0.706412452,1.037313278,6787434.033,347.4672984,1.761896069,1.658462361,0.723855188,1.045969451,6963946.233,32.44433508,-0.011655425,0.026283072,-0.017442736,-0.008656172,-176512.2
RI,371.6331902,1.597071177,1.666735636,0.698258528,1.03346429,546625.5667,363.3581999,1.702144685,1.670018051,0.696517487,1.033002641,492252.7667,8.27499033,-0.105073508,-0.003282415,0.001741041,0.000461649,54372.8
SC,408.8055782,1.861679963,1.643919943,0.699048246,1.031319653,2571962.433,364.2954093,1.761573658,1.643775518,0.693671238,1.03081541,2195866.433,44.51016887,0.100106305,0.000144425,0.005377008,0.000504243,376096
SD,402.884874,1.593022843,1.488653083,0.680938077,1.026151996,487540.8667,333.3917302,1.616370288,1.452163506,0.693388616,1.031810304,465177.4667,69.49314386,-0.023347445,0.036489577,-0.01245054,-0.005658308,22363.4
TN,388.7117806,1.901104016,1.638195141,0.67322403,1.023583116,3533037.4,310.6080201,1.923786406,1.623704176,0.68606748,1.029203941,2977402.933,78.10376049,-0.02268239,0.014490965,-0.01284345,-0.005620825,555634.4667
TX,346.8184188,1.616722101,1.539805494,0.678050928,1.025406331,14823938.5,334.9304452,1.657992675,1.522563555,0.683148474,1.028239979,14099873.03,11.88797363,-0.041270574,0.017241939,-0.005097546,-0.002833649,724065.4667
UT,284.127713,1.422474566,1.559219405,0.699032476,1.033296194,2310221.033,260.4140807,1.454601087,1.567246909,0.703432998,1.036160539,1900532.033,23.71363235,-0.032126521,-0.008027504,-0.004400522,-0.002864346,409689
VA,361.5145526,1.629689115,1.549323608,0.687800297,1.028896973,5214980.967,343.0407051,1.541018772,1.533603966,0.690460933,1.030856209,4750566.933,18.47384745,0.088670343,0.015719643,-0.002660636,-0.001959236,464414.0333
WA,373.5570031,1.453968729,1.663007079,0.674490977,1.02547977,3720087,363.2890459,1.450814095,1.661281579,0.671075549,1.02487949,3709769.9,10.26795722,0.003154634,0.0017255,0.003415428,0.000600281,10317.1
WI,453.350669,1.704538943,1.766601343,0.682608098,1.026865197,2917756.333,451.2195084,1.75950637,1.757247495,0.68535538,1.028219546,2507391.967,2.131160631,-0.054967427,0.009353849,-0.002747282,-0.001354349,410364.3667
WV,514.5916389,2.051467813,1.762156172,0.699639196,1.033758538,514932.8667,422.9263861,1.989958077,1.737028106,0.712760672,1.039472193,517573.0667,91.66525278,0.061509737,0.025128066,-0.013121476,-0.005713655,-2640.2
WY,573.62983,1.630650252,1.594929007,0.673724427,1.02324134,309624.2,555.0697504,1.514807522,1.584880515,0.681125966,1.02766398,263671.0667,18.56007966,0.11584273,0.010048492,-0.007401539,-0.004422639,45953.13333
