State,Individual Group Herfindal Indexes Per State for 2014 Benefit year,Small Group Herfindal Indexes Per State for 2014 Benefit year,Individual Group Herfindal Indexes Per State for 2015 Benefit year,Small Group Herfindal Indexes Per State for 2015 Benefit year
AK,4218.200138,4454.192724,4373.951423,5164.362215
AL,9279.572215,9473.343897,7905.55735,9404.854689
AR,6954.114927,3255.055257,6319.160841,3322.915039
AZ,3197.418629,1748.413175,2751.535163,1809.827293
CA,2394.580488,2292.147917,2309.757311,2220.5541
CO,1702.533638,2099.503103,1765.577783,2013.018592
CT,2671.745849,2580.07305,2171.034149,2456.420539
DC,3445.454976,3574.868587,3642.483828,3679.940145
DE,3530.061394,4881.533608,3642.124374,4361.991799
FL,2138.423899,1446.143092,1608.32572,1391.366954
GA,2958.277674,1660.148268,2826.268346,1860.095329
HI,5015.765047,3772.254928,5116.983838,3185.575354
IA,5299.691322,3167.577842,5052.6627,4379.688752
ID,4293.430824,3658.124296,4107.745606,3918.050903
IL,7073.810126,4072.295389,7067.005494,4440.184735
IN,5089.454076,3906.93964,2683.897861,3596.894064
KS,2734.186645,4162.687022,2348.46745,4339.65754
KY,3859.906258,4342.16599,3903.669792,4151.177453
LA,4174.805767,4335.581907,2803.477975,4069.269504
MA,2031.452636,2654.067237,1724.476919,2546.519172
MD,3319.439868,3417.750801,4076.66625,3530.978921
ME,5249.415356,2629.644178,5811.022791,2217.658731
MI,2540.269415,2246.576668,2019.611199,2029.761094
MN,3520.319461,2598.16588,4626.398451,3244.499536
MO,2881.565923,2336.832183,2585.526773,2233.995473
MS,4340.498396,6095.675117,3932.939582,6431.781893
MT,3808.668342,5280.955184,4003.196079,5463.281233
NC,7639.307716,4511.381992,6086.994406,4008.846781
ND,7197.156489,7294.785096,6232.688007,6994.733518
NE,4899.854376,2529.897487,4120.472921,2800.313616
NH,4705.172323,4401.54576,2950.496515,3639.781653
NJ,3885.041478,3705.490066,3795.368306,3384.927867
NM,4400.909053,3061.522686,3207.978373,2427.343147
NV,1555.581941,1354.015171,1550.624286,1388.538474
NY,945.1042022,1812.988157,1062.168819,1707.772538
OH,2284.096917,2573.221039,1536.219711,2414.579685
OK,7264.146808,4604.699245,8707.949335,5254.179372
OR,2937.119253,1375.443785,2313.809089,1231.082281
PA,2043.294297,1180.029716,1780.301458,1080.95622
RI,8989.301674,6420.844864,4840.610977,6406.949922
SC,3035.781265,3993.854998,2611.888923,4247.481932
SD,5180.507432,4177.469521,4361.529396,4361.558428
TN,7305.666996,5054.375995,6424.84296,4630.582083
TX,5456.816739,3743.683914,4621.328412,4043.372552
UT,2878.87151,3138.515459,3015.952349,3574.228907
VA,2430.400481,1463.027345,1922.755243,1511.022069
WA,1756.4429,2614.816445,1654.214785,3550.11552
WI,1109.019714,1136.220709,900.63324,1211.953733
WV,8157.605229,6538.519259,9610.978449,6611.058444
WY,3430.498138,4556.492601,4828.968359,5113.248719
